timestamp,market,trade_price,trade_volume,ask_bid,bid_price,ask_price,bid_size,ask_size,total_bid_size,total_ask_size
2026-09-08 13:41:53.911553,KRW-BTC,106979000.0,9.347e-05,BID,0,0,0,0,0,0
2026-09-08 13:41:59.981827,KRW-BTC,106979000.0,0.00805871,BID,106979000.0,106980000.0,0.08423698,0.01595339,1.73930061,7.03900243
2026-09-08 13:41:59.983471,KRW-BTC,106979000.0,0.00093477,BID,106979000.0,106980000.0,0.08423698,0.01595339,1.73930061,7.03900243
2026-09-08 13:41:59.985089,KRW-BTC,106979000.0,0.00676954,BID,106979000.0,106980000.0,0.08423698,0.01595339,1.73930061,7.03900243
2026-09-08 13:42:04.555451,KRW-BTC,106979000.0,0.08423698,ASK,106976000.0,106979000.0,0.1384089,0.27155481,1.66602983,7.75713261
2026-09-08 13:42:04.556437,KRW-BTC,106979000.0,0.00117148,ASK,106976000.0,106979000.0,0.1384089,0.27155481,1.66602983,7.75713261
2026-09-08 13:42:04.936133,KRW-BTC,106979000.0,0.00046062,BID,106976000.0,106979000.0,0.1384089,0.27155481,1.66659103,7.77057161
2026-09-08 13:42:06.622610,KRW-BTC,106979000.0,9.347e-05,BID,106976000.0,106979000.0,0.1384089,0.27109419,1.66659103,7.77011099
2026-09-08 13:42:10.461943,KRW-BTC,106976000.0,0.0006,ASK,106976000.0,106979000.0,0.1378089,0.27100072,1.66599103,7.77001752
2026-09-08 13:42:10.683903,KRW-BTC,106976000.0,0.0008,ASK,106976000.0,106979000.0,0.1370089,0.27100072,1.66519103,7.77001752
2026-09-08 13:42:11.352436,KRW-BTC,106979000.0,0.27100072,BID,106979000.0,106980000.0,5.968769,0.01595339,7.63339883,7.5069368
2026-09-08 13:42:11.411739,KRW-BTC,106979000.0,0.0006,ASK,106979000.0,106980000.0,5.968769,0.01595339,7.63339883,7.5069368
2026-09-08 13:42:12.032775,KRW-BTC,106979000.0,0.0006,ASK,106979000.0,106980000.0,5.968169,0.01595339,7.59230711,7.5758568
2026-09-08 13:42:14.582124,KRW-BTC,106979000.0,0.0006,ASK,106979000.0,106980000.0,5.966969,0.01595339,7.59110711,7.5758568
2026-09-08 13:42:18.967992,KRW-BTC,106980000.0,0.01259289,BID,106979000.0,106980000.0,5.966969,0.02123422,7.59110711,7.58113763
2026-09-08 13:42:18.969875,KRW-BTC,106980000.0,0.0033605,BID,106979000.0,106980000.0,5.966969,0.02123422,7.59110711,7.58113763
2026-09-08 13:42:18.971552,KRW-BTC,106980000.0,0.00528083,BID,106979000.0,106980000.0,5.966969,0.02123422,7.59110711,7.58113763
2026-09-08 13:42:18.972523,KRW-BTC,106981000.0,0.97876578,BID,106979000.0,106980000.0,5.966969,0.02123422,7.59110711,7.58113763
2026-09-08 13:42:19.101322,KRW-BTC,106980000.0,0.00373905,ASK,106980000.0,106981000.0,0.00373905,0.82397766,7.57362377,6.60113763
2026-09-08 13:42:19.102803,KRW-BTC,106979000.0,0.07212494,ASK,106980000.0,106981000.0,0.00373905,0.82397766,7.57362377,6.60113763
2026-09-08 13:42:21.863093,KRW-BTC,106979000.0,0.00182217,ASK,106979000.0,106981000.0,5.89302189,0.82397766,7.51716,6.60113763
2026-09-08 13:42:23.159235,KRW-BTC,106981000.0,0.00093474,BID,106979000.0,106981000.0,5.89302189,0.82397766,7.51716,6.60113763
2026-09-08 13:42:32.532104,KRW-BTC,106979000.0,0.00740609,ASK,106979000.0,106981000.0,5.89365751,0.80915004,7.51779562,6.59916001
2026-09-08 13:42:33.432870,KRW-BTC,106981000.0,0.01,BID,106979000.0,106981000.0,5.88625142,0.80915004,7.51506347,6.59916001
2026-09-08 13:42:36.378012,KRW-BTC,106979000.0,0.0016,ASK,106979000.0,106981000.0,5.88465142,0.79915004,7.51346347,6.69545736
2026-09-08 13:42:36.609751,KRW-BTC,106981000.0,5.141e-05,BID,106979000.0,106981000.0,5.88465142,0.79915004,7.51346347,6.69545736
2026-09-08 13:42:37.021551,KRW-BTC,106981000.0,0.00023368,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.022516,KRW-BTC,106981000.0,7.01e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.023575,KRW-BTC,106981000.0,4.673e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.024231,KRW-BTC,106981000.0,4.673e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.025114,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.025655,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.026475,KRW-BTC,106981000.0,4.673e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.027236,KRW-BTC,106981000.0,7.01e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.027801,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.028539,KRW-BTC,106981000.0,0.00046737,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.029176,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.029778,KRW-BTC,106981000.0,7.01e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.29309256
2026-09-08 13:42:37.070284,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.60804556
2026-09-08 13:42:37.071024,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.60804556
2026-09-08 13:42:37.071623,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.60804556
2026-09-08 13:42:37.072352,KRW-BTC,106981000.0,4.673e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.60804556
2026-09-08 13:42:37.072942,KRW-BTC,106981000.0,0.00023368,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.60804556
2026-09-08 13:42:37.073592,KRW-BTC,106981000.0,0.00011684,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.60804556
2026-09-08 13:42:37.074207,KRW-BTC,106981000.0,0.00011684,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.60804556
2026-09-08 13:42:37.074887,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.60804556
2026-09-08 13:42:37.717061,KRW-BTC,106981000.0,0.00934745,BID,106979000.0,106981000.0,5.88465142,0.79678524,7.51346347,6.68288574
2026-09-08 13:42:38.070598,KRW-BTC,106981000.0,0.00467372,BID,106979000.0,106981000.0,5.88465142,0.78276407,7.51346347,6.68595362
2026-09-08 13:42:40.411936,KRW-BTC,106981000.0,0.27040557,BID,106979000.0,106981000.0,5.8851188,0.79506407,7.51393085,7.29831467
2026-09-08 13:42:45.054370,KRW-BTC,106981000.0,5.608e-05,BID,106979000.0,106981000.0,5.8851188,0.54979778,7.4859012,6.950546
2026-09-08 13:42:45.351502,KRW-BTC,106981000.0,0.00186949,BID,106979000.0,106981000.0,5.8851188,0.54792829,7.4859012,6.9371362
2026-09-08 13:42:45.404333,KRW-BTC,106981000.0,0.00467372,BID,106979000.0,106981000.0,5.8851188,0.54792829,7.4859012,6.9371362
2026-09-08 13:42:48.112631,KRW-BTC,106981000.0,0.02121862,BID,106979000.0,106981000.0,5.8851188,0.52203595,7.4859012,6.93563717
2026-09-08 13:42:48.434173,KRW-BTC,106979000.0,0.0123,ASK,106979000.0,106981000.0,5.8851188,0.50973595,7.4859012,6.92333717
2026-09-08 13:42:48.933166,KRW-BTC,106979000.0,0.0123,ASK,106979000.0,106981000.0,5.8728188,0.50973595,7.4737012,6.88609086
2026-09-08 13:42:49.130723,KRW-BTC,106979000.0,0.0105,ASK,106979000.0,106981000.0,5.8605188,0.50973595,7.4614012,6.88416328
2026-09-08 13:42:50.036492,KRW-BTC,106981000.0,0.00467372,BID,106979000.0,106981000.0,5.8500188,0.50973595,7.4509012,6.88416328
2026-09-08 13:42:51.587675,KRW-BTC,106981000.0,0.00025506,BID,106979000.0,106981000.0,5.85048618,0.50506223,7.45136858,6.87948956
2026-09-08 13:42:51.854846,KRW-BTC,106979000.0,0.00288579,ASK,106979000.0,106981000.0,5.84760039,0.50480717,7.44848279,6.80390539
2026-09-08 13:42:54.708076,KRW-BTC,106981000.0,0.02802834,BID,106979000.0,106981000.0,5.84769386,0.50480717,7.44857626,6.91869504
2026-09-08 13:42:56.214002,KRW-BTC,106981000.0,0.00021956,BID,106979000.0,106981000.0,5.848161,0.47677883,7.4490434,6.91066691
2026-09-08 13:43:01.391621,KRW-BTC,106979000.0,0.04673728,ASK,106979000.0,106981000.0,5.89556567,0.47655927,7.50111999,6.92330035
2026-09-08 13:43:02.623070,KRW-BTC,106981000.0,0.00514349,BID,106979000.0,106981000.0,5.89556567,0.47655927,7.50111999,6.92330035
2026-09-08 13:43:04.149095,KRW-BTC,106979000.0,0.00288579,ASK,106979000.0,106981000.0,5.89267988,0.47141578,7.4982342,6.91815686
2026-09-08 13:43:05.121826,KRW-BTC,106981000.0,0.00487002,BID,106979000.0,106981000.0,5.89267988,0.47141578,7.4982342,6.91815686
2026-09-08 13:43:05.423153,KRW-BTC,106981000.0,0.00333261,BID,106979000.0,106981000.0,5.89267988,0.46654576,7.4982342,6.90043384
2026-09-08 13:43:05.424501,KRW-BTC,106981000.0,0.0058801,BID,106979000.0,106981000.0,5.89267988,0.46654576,7.4982342,6.90043384
2026-09-08 13:43:05.425891,KRW-BTC,106981000.0,0.01869491,BID,106979000.0,106981000.0,5.89267988,0.46654576,7.4982342,6.90043384
2026-09-08 13:43:05.426983,KRW-BTC,106981000.0,0.01882965,BID,106979000.0,106981000.0,5.89267988,0.46654576,7.4982342,6.90043384
2026-09-08 13:43:07.593879,KRW-BTC,106981000.0,0.005302,BID,106979000.0,106981000.0,5.89267988,0.41980849,7.4982342,6.84654957
2026-09-08 13:43:07.750214,KRW-BTC,106981000.0,0.00248803,BID,106979000.0,106981000.0,5.89267988,0.41450649,7.4982342,6.84124757
2026-09-08 13:43:10.180564,KRW-BTC,106979000.0,0.000754,ASK,106979000.0,106981000.0,5.89267988,0.41201846,7.41056813,6.72929438
2026-09-08 13:43:20.660638,KRW-BTC,106981000.0,0.0129621,BID,106979000.0,106981000.0,5.89192588,0.39971069,7.40981413,6.71698665
2026-09-08 13:43:25.934285,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,5.90118464,0.39971069,7.41907289,6.74258778
2026-09-08 13:43:31.760349,KRW-BTC,106981000.0,0.00093474,BID,106979000.0,106981000.0,0.1055317,0.40967576,1.66284884,6.65748295
2026-09-08 13:43:35.225070,KRW-BTC,106981000.0,9.347e-05,BID,106979000.0,106981000.0,0.10576542,0.40967576,1.66298904,6.65748295
2026-09-08 13:43:35.778925,KRW-BTC,106979000.0,0.00063562,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.780243,KRW-BTC,106979000.0,0.00046738,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.855910,KRW-BTC,106979000.0,0.00046738,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.857207,KRW-BTC,106979000.0,9.347e-05,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.858368,KRW-BTC,106979000.0,0.00046714,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.859482,KRW-BTC,106979000.0,0.09378198,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.860837,KRW-BTC,106979000.0,0.00035997,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.861986,KRW-BTC,106979000.0,0.00925876,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.863141,KRW-BTC,106979000.0,0.00023372,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.863708,KRW-BTC,106976000.0,0.0030848,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.864438,KRW-BTC,106976000.0,0.01822838,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.865139,KRW-BTC,106976000.0,0.00467394,ASK,106970000.0,106981000.0,0.02042357,0.40958229,1.51442088,6.67712963
2026-09-08 13:43:35.971833,KRW-BTC,106981000.0,0.07973769,BID,106952000.0,106981000.0,0.00967722,0.30958229,1.54050644,6.53149321
2026-09-08 13:43:35.972717,KRW-BTC,106981000.0,0.02026231,BID,106952000.0,106981000.0,0.00967722,0.30958229,1.54050644,6.53149321
2026-09-08 13:43:35.973413,KRW-BTC,106970000.0,0.00934841,ASK,106952000.0,106981000.0,0.00967722,0.30958229,1.54050644,6.53149321
2026-09-08 13:43:35.974271,KRW-BTC,106970000.0,0.01107516,ASK,106952000.0,106981000.0,0.00967722,0.30958229,1.54050644,6.53149321
2026-09-08 13:43:35.975047,KRW-BTC,106969000.0,0.00467425,ASK,106952000.0,106981000.0,0.00967722,0.30958229,1.54050644,6.53149321
2026-09-08 13:43:35.975706,KRW-BTC,106969000.0,0.00467192,ASK,106952000.0,106981000.0,0.00967722,0.30958229,1.54050644,6.53149321
2026-09-08 13:43:36.263185,KRW-BTC,106952000.0,0.00032724,ASK,106952000.0,106980000.0,0.00967722,0.02564521,1.54050644,6.84352123
2026-09-08 13:43:36.264792,KRW-BTC,106952000.0,0.00934998,ASK,106952000.0,106980000.0,0.00967722,0.02564521,1.54050644,6.84352123
2026-09-08 13:43:36.453121,KRW-BTC,106980000.0,0.003,BID,106951000.0,106980000.0,0.00612947,0.02264521,1.55104856,7.08719168
2026-09-08 13:43:36.851074,KRW-BTC,106980000.0,0.00023374,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:36.852994,KRW-BTC,106980000.0,9.349e-05,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:36.854499,KRW-BTC,106980000.0,4.674e-05,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:36.856060,KRW-BTC,106980000.0,0.00023374,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:36.856784,KRW-BTC,106980000.0,0.00011687,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:37.100911,KRW-BTC,106980000.0,7.012e-05,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:37.101762,KRW-BTC,106980000.0,7.012e-05,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:37.102372,KRW-BTC,106980000.0,9.349e-05,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:37.102947,KRW-BTC,106980000.0,9.349e-05,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:37.103587,KRW-BTC,106980000.0,0.00011687,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:37.104267,KRW-BTC,106980000.0,9.349e-05,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
2026-09-08 13:43:37.104812,KRW-BTC,106980000.0,0.00046749,BID,106951000.0,106980000.0,0.00612947,0.02070521,1.55104856,6.69810468
